# this is the base set of chemistry rates that is read in
# by default for all cases.
# We have the option to supplement this with improved rates 
# from mole_co_federman.dat and mole_co_leidenhack.dat
# Both files are used by default but can be disabled with
# the SET CHEMISTRY command.  There are duplicate reactions
# in this case and the base reactions in this file are
# ignored.
#These would be double counted if included in the molecular network
#N+,e-=>N:ele_recomb:1.:0.:0.
#S+,e-=>S:ele_recomb:1.:0.:0.
#Cl+,e-=>Cl:ele_recomb:1.:0.:0.
#C+,e-=>C:ele_recomb:1.:0.:0.
#O+,e-=>O:ele_recomb:1.:0.:0.
#Si+,e-=>Si:ele_recomb:1.:0.:0.
NH4+,e-=>NH2,H,H:hmrate:0.000000286:-0.5:0 # UMIST   
NH4+,e-=>NH2,H2:hmrate:0.000000137:-0.5:0 # UMIST   
NH4+,e-=>NH3,H:hmrate:0.000000938:-0.5:0 # UMIST   
CN+,e-=>N,C:hmrate:0.00000018:-0.5:0 # UMIST   
HCN+,e-=>CN,H:hmrate:0.0000002:-0.5:0 # UMIST   
N2+,e-=>N,N:hmrate:0.000000036:-0.42:0 # UMIST   
NO+,e-=>O,N:hmrate:0.00000043:-0.37:0 # UMIST   
HNO+,e-=>NO,H:hmrate:0.0000003:-0.5:0 # UMIST   
HS+,e-=>S,H:hmrate:0.0000002:-0.5:0 # UMIST   
SiN+,e-=>Si,N:hmrate:0.0000002:-0.5:0 # UMIST   
CS+,e-=>S,C:hmrate:0.0000002:-0.5:0 # UMIST   
HCS+,e-=>CS,H:hmrate:0.00000005:-0.75:0 # UMIST   
NO2+,e-=>NO,O:hmrate:0.0000003:-0.5:0 # UMIST   
NS+,e-=>S,N:hmrate:0.0000002:-0.5:0 # UMIST   
SO+,e-=>S,O:hmrate:0.0000002:-0.5:0 # UMIST   
OCS+,e-=>CS,O:hmrate:0.00000015:-0.5:0 # UMIST   
S2+,e-=>S,S:hmrate:0.0000002:-0.5:0 # UMIST   
HCl+,e-=>Cl,H:hmrate:0.0000003:-0.5:0 # UMIST   
H2Cl+,e-=>Cl,H,H:hmrate:0.00000027:-0.5:0 # UMIST   
#H2Cl+,e-=>HCl,H:hmrate:0.00000003:-0.5:0 # UMIST 
